name,classe,cours,id,entree,sortie,score,remarque,id_user,id_meeting,planning_cours_journalier_id,ip,created_at,updated_at,source,canal_feedback
Aitlamkddem Yousra,Plate-forme des jeunes Skhirat-Temmara,Cours d’anglais Professionnelle,779,2023-01-28 16:01:02,2023-01-28 16:33:57,8,"Méthodologie adaptée, j'ai beaucoup appris.",345,132,\N,\N,2023-01-28 17:01:02,2023-01-28 17:34:15,yool education,email
Sadek Rajae,Plate-forme des jeunes Skhirat-Temmara,Cours d’anglais Professionnelle,931,2023-02-11 15:06:10,2023-02-11 16:32:38,8,"Très satisfait du cours, contenu clair et utile.",342,132,\N,\N,2023-02-11 16:06:10,2023-02-11 17:32:44,yool education,enquête
Dyb Othmane,G1,Cours d’Anglais fonctionnel pour débutant dispensé en Darija,1498,2023-05-03 17:17:47,2023-05-03 19:05:58,8,"Méthodologie adaptée, j'ai beaucoup appris.",21,165,\N,\N,2023-05-03 18:17:47,2023-05-03 20:05:58,yool education,email
MOUSTAPHA AMOUCHAL,G1,Cours d’Anglais fonctionnel pour débutant dispensé en Darija,1521,2023-05-05 17:37:35,2023-05-05 19:03:26,10,"Bonne expérience, je recommande cette formation.",937,165,\N,\N,2023-05-05 18:37:35,2023-05-05 20:03:49,yool education,plateforme
MOUSTAPHA AMOUCHAL,G1,Cours d’Anglais fonctionnel pour débutant dispensé en Darija,1670,2023-05-17 17:53:38,2023-05-17 19:03:40,8,"Très satisfait du cours, contenu clair et utile.",937,165,\N,\N,2023-05-17 18:53:38,2023-05-17 20:03:40,yool education,réseaux sociaux
MOUSTAPHA AMOUCHAL,G1,Cours d’Anglais fonctionnel pour débutant dispensé en Darija,1743,2023-05-19 18:55:01,2023-05-19 19:01:01,8,"Méthodologie adaptée, j'ai beaucoup appris.",937,165,\N,\N,2023-05-19 19:55:01,2023-05-19 20:01:10,yool education,email
Yassine Fouzir,G1,Cours d'Anglais fonctionnel,9144,2024-02-04 14:00:24,2024-02-04 15:33:31,8,"Très satisfait du cours, contenu clair et utile.",2366,166,\N,\N,2024-02-04 15:00:24,2024-02-04 16:34:50,yool education,email
Sanae EL MANSOURI,G1,Cours d'Anglais fonctionnel,15283,2024-05-19 16:49:46,2024-05-19 17:48:43,8,"Très satisfait du cours, contenu clair et utile.",2067,166,\N,\N,2024-05-19 17:49:46,2024-05-19 18:48:43,yool education,email
Yasmin Boussatta,G1,Cours d’Arabe classique pour enfants débutant de 8 à 12 ans,4753,2023-10-21 15:51:33,2023-10-21 17:20:26,8,"Méthodologie adaptée, j'ai beaucoup appris.",1615,176,\N,\N,2023-10-21 16:51:33,2023-10-21 18:20:26,yool education,enquête
Abdullah Bouker,G1,Cours d’Arabe classique pour enfants débutant de 8 à 12 ans,5111,2023-11-04 15:58:00,2023-11-04 17:18:51,8,"Très satisfait du cours, contenu clair et utile.",1613,176,\N,\N,2023-11-04 16:58:00,2023-11-04 18:18:51,yool education,plateforme
Abdullah Bouker,G1,Cours d’Arabe classique pour enfants débutant de 8 à 12 ans,6373,2023-12-02 16:03:28,2023-12-02 16:18:13,8,"Méthodologie adaptée, j'ai beaucoup appris.",1613,176,\N,\N,2023-12-02 17:03:28,2023-12-02 17:18:20,yool education,réseaux sociaux
Abdullah Bouker,G1,Cours d’Arabe classique pour enfants débutant de 8 à 12 ans,8724,2024-01-27 15:57:51,2024-01-27 17:16:28,8,"Bonne expérience, je recommande cette formation.",1613,176,\N,\N,2024-01-27 16:57:51,2024-01-27 18:16:28,yool education,réseaux sociaux
Abdullah Bouker,G1,Cours d’Arabe classique pour enfants débutant de 8 à 12 ans,11917,2024-03-23 16:03:40,2024-03-23 17:47:30,8,"Bonne expérience, je recommande cette formation.",1613,176,84210,\N,2024-03-23 16:03:40,2024-03-23 17:47:30,yool education,plateforme
Basma El-kaitouni,Préparation Intensif 2BAC PC G1 - PC,Physique Chimie 2ème année Baccalauréat PC,15505,2024-05-20 20:04:37,2024-05-20 21:44:40,10,"Très satisfait du cours, contenu clair et utile.",6455,210,\N,\N,2024-05-20 21:04:37,2024-05-20 22:44:51,yool education,email
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - PC,Physique Chimie 2ème année Baccalauréat PC,72606,2025-05-15 20:51:15,2025-05-15 22:13:54,9,Formateur très compétent et à l'écoute.,32027,210,175092,196.74.126.230,2025-05-15 21:51:15,2025-05-15 23:14:06,yool education,plateforme
HAYTAM EL KANSOURI,Préparation Intensif 2BAC PC G1 - PC,Physique Chimie 2ème année Baccalauréat PC,72670,2025-05-15 21:32:36,2025-05-15 22:14:57,8,"Très satisfait du cours, contenu clair et utile.",28161,210,175092,105.71.135.218,2025-05-15 22:32:36,2025-05-15 23:17:04,yool education,plateforme
El menani Lina,Préparation Intensif 2BAC PC G1 - PC,Physique Chimie 2ème année Baccalauréat PC,73150,2025-05-17 11:46:58,2025-05-17 13:07:17,8,Formateur très compétent et à l'écoute.,8350,210,175094,196.122.242.162,2025-05-17 12:46:58,2025-05-17 14:07:34,yool education,plateforme
Basma El-kaitouni,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,15368,2024-05-20 18:24:52,2024-05-20 20:04:24,9,Formateur très compétent et à l'écoute.,6455,211,\N,\N,2024-05-20 19:24:52,2024-05-20 21:04:24,yool education,plateforme
CHerradi mohamed riyad,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,15413,2024-05-20 18:39:09,2024-05-20 20:04:54,9,"Bonne expérience, je recommande cette formation.",4829,211,87526,\N,2024-05-20 19:39:09,2024-05-20 21:05:09,yool education,email
younes mouhtat,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,15427,2024-05-20 18:45:25,2024-05-20 20:05:50,9,"Méthodologie adaptée, j'ai beaucoup appris.",4808,211,87526,\N,2024-05-20 19:45:25,2024-05-20 21:05:58,yool education,réseaux sociaux
YAQINE Doha,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,72798,2025-05-16 19:01:49,2025-05-16 20:32:28,8,"Bonne expérience, je recommande cette formation.",12669,211,175104,196.70.244.128,2025-05-16 20:01:49,2025-05-16 21:34:20,yool education,email
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,72803,2025-05-16 19:03:23,2025-05-16 20:31:51,8,"Méthodologie adaptée, j'ai beaucoup appris.",32027,211,175104,160.176.68.107,2025-05-16 20:03:23,2025-05-16 21:31:59,yool education,enquête
ibrahimi idrissi rahma,Préparation Intensif 2BAC PC G1 - Math,Mathématiques 2ème année Baccalauréat PC,74000,2025-05-19 19:42:24,2025-05-19 19:43:15,8,"Bonne expérience, je recommande cette formation.",32118,211,175107,41.141.150.168,2025-05-19 20:42:24,2025-05-19 20:43:31,yool education,enquête
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - SVT,SVT 2ème année Baccalauréat,73319,2025-05-18 10:12:42,2025-05-18 11:33:14,8,Formateur très compétent et à l'écoute.,32027,212,175117,105.157.181.120,2025-05-18 11:12:42,2025-05-18 12:38:57,yool education,réseaux sociaux
El menani Lina,Préparation Intensif 2BAC PC G1 - SVT,SVT 2ème année Baccalauréat,75566,2025-05-21 20:54:40,2025-05-21 22:14:39,8,"Bonne expérience, je recommande cette formation.",8350,212,175120,196.122.242.162,2025-05-21 21:54:40,2025-05-21 23:15:01,yool education,email
walid rachiq,Préparation Intensif 2BAC PC G1 - SVT,SVT 2ème année Baccalauréat,77086,2025-05-25 10:02:14,2025-05-25 11:32:51,9,Formateur très compétent et à l'écoute.,31903,212,175124,105.190.109.159,2025-05-25 11:02:14,2025-05-25 12:33:00,yool education,enquête
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - SVT,SVT 2ème année Baccalauréat,77137,2025-05-25 10:28:14,2025-05-25 15:31:46,9,"Méthodologie adaptée, j'ai beaucoup appris.",32027,212,\N,160.176.65.82,2025-05-25 11:28:14,2025-05-25 16:31:53,yool education,réseaux sociaux
El menani Lina,Préparation Intensif 2BAC PC G1 - SVT,SVT 2ème année Baccalauréat,77271,2025-05-25 14:09:43,2025-05-25 15:05:02,8,Formateur très compétent et à l'écoute.,8350,212,\N,196.122.195.196,2025-05-25 15:09:43,2025-05-25 16:05:03,yool education,email
Riyad El Yamani,Préparation Intensif 2BAC PC G1 - Anglais,Anglais 2ème année Baccalauréat,1928,2023-05-24 15:59:00,2023-05-24 17:52:42,10,"Très satisfait du cours, contenu clair et utile.",1166,213,\N,\N,2023-05-24 16:59:00,2023-05-24 18:52:42,yool education,email
salma aakrouch,Préparation Intensif 2BAC PC G1 - Anglais,Anglais 2ème année Baccalauréat,15333,2024-05-20 17:49:59,2024-05-20 18:44:49,8,"Bonne expérience, je recommande cette formation.",4929,213,\N,\N,2024-05-20 18:49:59,2024-05-20 19:44:59,yool education,réseaux sociaux
Hamza El korri,Préparation Intensif 2BAC PC G1 - Anglais,Anglais 2ème année Baccalauréat,15355,2024-05-20 18:18:16,2024-05-20 18:44:53,8,Formateur très compétent et à l'écoute.,6361,213,\N,\N,2024-05-20 19:18:16,2024-05-20 19:45:05,yool education,enquête
Dounia Dakhsi,Préparation Intensif 2BAC PC G1 - Anglais,Anglais 2ème année Baccalauréat,15356,2024-05-20 18:19:07,2024-05-20 18:44:50,1,"Je suis déçu, la formation n'a pas répondu à mes attentes.",6395,213,\N,\N,2024-05-20 19:19:07,2024-05-20 19:45:02,yool education,email
Riyad El Yamani,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,1671,2023-05-17 17:54:22,2023-05-17 17:57:28,8,"Très satisfait du cours, contenu clair et utile.",1166,214,\N,\N,2023-05-17 18:54:22,2023-05-17 18:57:52,yool education,plateforme
Riyad El Yamani,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,1783,2023-05-20 18:27:30,2023-05-20 18:30:02,9,Formateur très compétent et à l'écoute.,1166,214,\N,\N,2023-05-20 19:27:30,2023-05-20 19:30:02,yool education,email
ABDERRAHMANE BOUHMIDI,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,72360,2025-05-15 19:03:57,2025-05-15 20:28:43,9,"Méthodologie adaptée, j'ai beaucoup appris.",31925,214,175136,197.146.182.35,2025-05-15 20:03:57,2025-05-15 21:31:13,yool education,email
El menani Lina,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,72389,2025-05-15 19:13:40,2025-05-15 20:38:29,8,"Très satisfait du cours, contenu clair et utile.",8350,214,175136,45.218.196.153,2025-05-15 20:13:40,2025-05-15 21:50:26,yool education,email
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,72420,2025-05-15 19:26:08,2025-05-15 20:49:06,8,"Très satisfait du cours, contenu clair et utile.",32027,214,175136,160.176.67.18,2025-05-15 20:26:08,2025-05-15 21:49:14,yool education,email
Adam Tahiri,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,72930,2025-05-16 20:36:15,2025-05-16 22:16:55,10,"Bonne expérience, je recommande cette formation.",31902,214,175137,196.74.136.14,2025-05-16 21:36:15,2025-05-16 23:17:00,yool education,plateforme
Berrais Zaynab,Préparation Intensif 2BAC PC G1 - Philosophie,Philosophie 2ème année Baccalauréat,73006,2025-05-16 20:47:56,2025-05-16 22:17:02,8,Formateur très compétent et à l'écoute.,32027,214,175137,160.176.68.107,2025-05-16 21:47:56,2025-05-16 23:17:07,yool education,email
maryam Barikallah,Préparation Intensif 2BAC SM - PC,Physique Chimie 2ème année Baccalauréat Sciences Maths,19052,2024-06-01 17:42:45,2024-06-01 17:50:46,8,"Méthodologie adaptée, j'ai beaucoup appris.",6435,215,87321,\N,2024-06-01 18:42:45,2024-06-01 18:58:49,yool education,enquête
Hari Rayane,Préparation Intensif 2BAC SM - PC,Physique Chimie 2ème année Baccalauréat Sciences Maths,72834,2025-05-16 19:13:55,2025-05-16 20:37:55,7,"Ni bon ni mauvais, c'était acceptable.",32038,215,175236,196.206.12.14,2025-05-16 20:13:55,2025-05-16 21:38:02,yool education,enquête
Riyad El Yamani,Préparation Intensif 2BAC SM - Math,Mathématiques 2ème année Baccalauréat Sciences Maths,1713,2023-05-18 16:27:37,2023-05-18 17:52:36,9,"Bonne expérience, je recommande cette formation.",1166,216,\N,\N,2023-05-18 17:27:37,2023-05-18 18:56:36,yool education,réseaux sociaux
Othman Chiker,Préparation Intensif 2BAC SM - Math,Mathématiques 2ème année Baccalauréat Sciences Maths,16012,2024-05-22 18:47:45,2024-05-22 20:03:05,10,"Méthodologie adaptée, j'ai beaucoup appris.",6326,216,87332,\N,2024-05-22 19:47:45,2024-05-22 21:03:10,yool education,email
Othman Chiker,Préparation Intensif 2BAC SM - Math,Mathématiques 2ème année Baccalauréat Sciences Maths,16254,2024-05-23 19:03:14,2024-05-23 20:10:13,10,"Très satisfait du cours, contenu clair et utile.",6326,216,87333,\N,2024-05-23 20:03:14,2024-05-23 21:10:29,yool education,plateforme
Othman Chiker,Préparation Intensif 2BAC SM - Math,Mathématiques 2ème année Baccalauréat Sciences Maths,18267,2024-05-30 18:24:21,2024-05-30 20:02:32,9,"Méthodologie adaptée, j'ai beaucoup appris.",6326,216,87340,\N,2024-05-30 19:24:21,2024-05-30 21:02:43,yool education,email
hajar ouchkour,Préparation Intensif 2BAC SM A - SVT,SVT 2ème année Baccalauréat Sciences Maths A,18611,2024-05-31 18:35:51,2024-05-31 20:00:10,10,Formateur très compétent et à l'écoute.,1748,217,87362,\N,2024-05-31 19:35:51,2024-05-31 21:00:19,yool education,réseaux sociaux
El Amraoui Rim,Préparation Intensif 2BAC SM B - SI,Sciences de l'Ingénierie 2ème année Baccalauréat Sciences Maths B,15493,2024-05-20 20:02:54,2024-05-20 21:35:19,10,"Très satisfait du cours, contenu clair et utile.",1649,218,87400,\N,2024-05-20 21:02:54,2024-05-20 22:35:26,yool education,enquête
Saber El aloua,Préparation Intensif 2BAC Economiques - Comptabilité,Comptabilité 2ème année Baccalauréat Sciences Economiques,76963,2025-05-24 13:55:14,2025-05-24 15:43:17,8,"Bonne expérience, je recommande cette formation.",8555,219,175189,105.66.135.92,2025-05-24 14:55:14,2025-05-24 16:43:39,yool education,réseaux sociaux
Aziz Samy,Préparation Intensif 2BAC Economiques - Organisation,Organisation des Entreprises 2ème année Baccalauréat Sciences Economiques,17199,2024-05-27 20:02:34,2024-05-27 21:33:01,10,"Bonne expérience, je recommande cette formation.",6153,220,87148,\N,2024-05-27 21:02:34,2024-05-27 22:33:44,yool education,réseaux sociaux
zineb ait brahim,Préparation Intensif 2BAC Economiques - Economie G,Economie Générale 2ème année Baccalauréat Sciences Economiques,15459,2024-05-20 19:11:55,2024-05-20 20:08:39,10,"Très satisfait du cours, contenu clair et utile.",6343,221,87162,\N,2024-05-20 20:11:55,2024-05-20 21:08:55,yool education,réseaux sociaux
zineb ait brahim,Préparation Intensif 2BAC Economiques - Economie G,Economie Générale 2ème année Baccalauréat Sciences Economiques,15682,2024-05-21 18:30:28,2024-05-21 20:01:19,10,"Bonne expérience, je recommande cette formation.",6343,221,87163,\N,2024-05-21 19:30:28,2024-05-21 21:01:31,yool education,réseaux sociaux
Mazmaz Ayman,Préparation Intensif 2BAC Economiques - Economie G,Economie Générale 2ème année Baccalauréat Sciences Economiques,19604,2024-06-04 14:32:22,2024-06-04 16:04:36,9,"Très satisfait du cours, contenu clair et utile.",6069,221,87177,\N,2024-06-04 15:32:22,2024-06-04 17:05:08,yool education,email
Amamoun Walae,Classe 1 - Actualité & Culture Générale pour Concours d'accès ENCG,Actualité & Culture Générale pour Concours d'accès ENCG,80616,2025-06-24 11:17:04,2025-06-24 13:16:52,10,Formateur très compétent et à l'écoute.,32494,222,184334,196.75.95.86,2025-06-24 12:17:04,2025-06-24 14:16:59,yool education,email
Boukhaled Aabir,Classe 1 - Linguistique Sémantique pour Concours d'accès ENCG,Linguistique Sémantique pour Concours d'accès ENCG,80400,2025-06-23 15:00:03,2025-06-23 17:21:28,10,"Bonne expérience, je recommande cette formation.",32650,223,184366,196.64.83.37,2025-06-23 16:00:03,2025-06-23 18:21:48,yool education,enquête
Rim Halich,Classe 1 - Mémorisation de texte pour Concours d'accès ENCG,Mémorisation de texte pour Concours d'accès ENCG,21623,2024-07-01 08:32:08,2024-07-01 10:52:17,9,Formateur très compétent et à l'écoute.,7566,224,90625,\N,2024-07-01 09:32:08,2024-07-01 12:07:37,yool education,enquête
aya boudlal,Classe 1 - Mémorisation de texte pour Concours d'accès ENCG,Mémorisation de texte pour Concours d'accès ENCG,21696,2024-07-01 09:05:55,2024-07-01 10:51:05,6,"Formation conforme aux attentes, sans surprise.",7647,224,90625,\N,2024-07-01 10:05:55,2024-07-01 11:51:18,yool education,enquête
YASSIR MOUHALA,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,79639,2025-06-18 08:57:55,2025-06-18 11:05:01,8,Formateur très compétent et à l'écoute.,2019,225,183930,160.177.36.71,2025-06-18 09:57:55,2025-06-18 12:05:03,yool education,email
lazreg Lina,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,79782,2025-06-19 09:15:14,2025-06-19 11:14:31,8,"Très satisfait du cours, contenu clair et utile.",32441,225,183931,105.75.53.32,2025-06-19 10:15:14,2025-06-19 12:14:57,yool education,email
YASSIR MOUHALA,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,79874,2025-06-20 10:07:17,2025-06-20 11:09:00,8,Formateur très compétent et à l'écoute.,2019,225,183932,160.177.8.85,2025-06-20 11:07:17,2025-06-20 12:09:06,yool education,enquête
YASSIR MOUHALA,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80784,2025-06-25 09:26:49,2025-06-25 11:08:09,8,"Très satisfait du cours, contenu clair et utile.",2019,225,183937,160.177.23.21,2025-06-25 10:26:49,2025-06-25 12:08:11,yool education,réseaux sociaux
YASSIR MOUHALA,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,81035,2025-06-26 09:06:44,2025-06-26 11:04:47,8,"Bonne expérience, je recommande cette formation.",2019,225,184753,105.157.216.85,2025-06-26 10:06:44,2025-06-26 12:12:45,yool education,réseaux sociaux
kemmou ali,Médecine POST BAC - PC - G1,Physique Chimie pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,81047,2025-06-26 09:22:15,2025-06-26 11:04:35,8,"Méthodologie adaptée, j'ai beaucoup appris.",8382,225,184753,41.248.185.145,2025-06-26 10:22:15,2025-06-26 12:07:36,yool education,réseaux sociaux
kemmou ali,Médecine POST BAC - Math - G1,Mathématiques pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80180,2025-06-22 15:01:06,2025-06-22 16:59:44,8,"Très satisfait du cours, contenu clair et utile.",8382,226,183981,41.249.29.5,2025-06-22 16:01:06,2025-06-22 18:41:01,yool education,réseaux sociaux
YASSIR MOUHALA,Médecine POST BAC - Math - G1,Mathématiques pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80370,2025-06-23 14:48:04,2025-06-23 17:01:42,8,"Méthodologie adaptée, j'ai beaucoup appris.",2019,226,183982,105.156.248.241,2025-06-23 15:48:04,2025-06-23 18:01:50,yool education,enquête
kemmou ali,Médecine POST BAC - Math - G1,Mathématiques pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80630,2025-06-24 11:20:27,2025-06-24 13:16:22,8,"Bonne expérience, je recommande cette formation.",8382,226,183983,41.140.6.255,2025-06-24 12:20:27,2025-06-24 14:17:10,yool education,plateforme
Amine Jelloul,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,22541,2024-07-03 11:08:23,2024-07-03 11:10:40,1,"Je suis déçu, la formation n'a pas répondu à mes attentes.",7523,227,89226,\N,2024-07-03 12:08:23,2024-07-03 12:10:48,yool education,enquête
kemmou ali,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,79957,2025-06-20 15:26:19,2025-06-20 17:01:41,8,Formateur très compétent et à l'écoute.,8382,227,184054,41.143.231.239,2025-06-20 16:26:19,2025-06-20 18:04:45,yool education,enquête
YASSIR MOUHALA,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80133,2025-06-22 11:08:13,2025-06-22 13:07:03,8,"Bonne expérience, je recommande cette formation.",2019,227,184056,160.177.186.185,2025-06-22 12:08:13,2025-06-22 14:07:05,yool education,réseaux sociaux
kemmou ali,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80524,2025-06-24 09:02:11,2025-06-24 11:00:48,8,"Bonne expérience, je recommande cette formation.",8382,227,184491,41.140.6.255,2025-06-24 10:02:11,2025-06-24 12:20:16,yool education,enquête
YASSIR MOUHALA,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,80556,2025-06-24 09:21:43,2025-06-24 15:08:41,8,"Méthodologie adaptée, j'ai beaucoup appris.",2019,227,\N,105.156.248.241,2025-06-24 10:21:43,2025-06-24 16:08:41,yool education,réseaux sociaux
kemmou ali,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,81158,2025-06-26 14:46:39,2025-06-26 17:02:37,8,"Méthodologie adaptée, j'ai beaucoup appris.",8382,227,184740,41.248.199.53,2025-06-26 15:46:39,2025-06-26 18:02:40,yool education,enquête
YASSIR MOUHALA,Médecine POST BAC - svt - G1,SVT pour Concours de Médecine et de Pharmacie & de Médecine Dentaire,81172,2025-06-26 14:57:00,2025-06-26 17:02:48,8,Formateur très compétent et à l'écoute.,2019,227,184740,105.155.68.230,2025-06-26 15:57:00,2025-06-26 18:02:52,yool education,enquête
Sabir Mohamed amin,Préparation Concours  ENSA-ENSAM ( Physique Chimie ),Physique Chimie pour Concours d'accès ENSA-ENSAM,80325,2025-06-23 11:35:53,2025-06-23 13:21:03,8,"Méthodologie adaptée, j'ai beaucoup appris.",8368,230,184267,160.176.244.159,2025-06-23 12:35:53,2025-06-23 14:21:22,yool education,email
Lakhal Aya,Préparation Concours  ENSA-ENSAM ( Math ),Mathématiques pour Concours d'accès ENSA-ENSAM,21958,2024-07-01 15:36:06,2024-07-01 15:38:31,10,"Bonne expérience, je recommande cette formation.",7795,231,\N,\N,2024-07-01 16:36:06,2024-07-01 16:38:43,yool education,enquête
Ouazzani Idriss,Préparation Concours  ENSA-ENSAM ( Math ),Mathématiques pour Concours d'accès ENSA-ENSAM,22080,2024-07-02 08:59:50,2024-07-02 11:01:40,9,"Méthodologie adaptée, j'ai beaucoup appris.",7777,231,\N,\N,2024-07-02 09:59:50,2024-07-02 12:01:49,yool education,réseaux sociaux
Ayoub Laghadir,Préparation Concours  ENSA-ENSAM ( Math ),Mathématiques pour Concours d'accès ENSA-ENSAM,22083,2024-07-02 09:00:04,2024-07-02 09:10:37,8,"Méthodologie adaptée, j'ai beaucoup appris.",7612,231,\N,\N,2024-07-02 10:00:04,2024-07-02 10:11:11,yool education,email
